center,left,right,steering,throttle,brake,speed
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_558.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_558.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_558.jpg,-0.9220094,0.1097397,0,0.1538262
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_629.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_629.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_629.jpg,-0.9220094,0.2355042,0,0.2490682
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_699.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_699.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_699.jpg,-0.9220094,0.7289169,0,0.7329086
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_771.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_771.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_771.jpg,-0.9316924,0.8063423,0,1.280195
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_839.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_839.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_839.jpg,-0.9316924,0.8063423,0,2.014102
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_911.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_911.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_911.jpg,-0.9316924,0.8063423,0,2.549684
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_02_59_979.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_02_59_979.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_02_59_979.jpg,-0.9316924,0.8063423,0,3.296613
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_047.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_047.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_047.jpg,-0.9316924,0.8063423,0,3.841713
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_118.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_118.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_118.jpg,-0.9123266,0.8063423,0,4.569565
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_188.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_188.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_188.jpg,-0.9123266,0.8256704,0,5.123679
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_261.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_261.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_261.jpg,-0.9123266,0.8256704,0,5.854905
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_328.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_328.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_328.jpg,-0.7188196,0.8353533,0,6.426523
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_399.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_399.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_399.jpg,-0.5349955,0.8353533,0,7.195292
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_469.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_469.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_469.jpg,-0.3124775,0.7869765,0,7.744401
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_541.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_541.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_541.jpg,-0.2060411,0.7772936,0,8.439358
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_613.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_613.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_613.jpg,-0.2060411,0.7772936,0,9.126348
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_684.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_684.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_684.jpg,-0.2060411,0.7772936,0,9.636743
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_757.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_757.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_757.jpg,-0.2737836,0.7772936,0,10.30709
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_827.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_827.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_827.jpg,-0.2737836,0.7772936,0,10.79707
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_897.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_897.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_897.jpg,-0.2737836,0.7772936,0,11.52196
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_00_969.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_00_969.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_00_969.jpg,-0.2737836,0.7772936,0,11.55194
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_039.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_039.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_039.jpg,-0.3027946,0.7579656,0,12.50925
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_108.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_108.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_108.jpg,-0.3027946,0.7579656,0,12.97551
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_182.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_182.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_182.jpg,-0.3027946,0.7772936,0,13.68194
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_250.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_250.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_250.jpg,-0.2254068,0.8063423,0,14.11818
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_319.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_319.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_319.jpg,-0.02221695,0.8256704,0,14.82123
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_386.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_386.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_386.jpg,0,0.8256704,0,15.38075
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_460.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_460.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_460.jpg,0,0.8063423,0,16.0512
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_533.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_533.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_533.jpg,0,0.8063423,0,16.69514
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_600.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_600.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_600.jpg,-0.02221695,0.8063423,0,17.12114
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_674.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_674.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_674.jpg,-0.1576643,0.7966594,0,17.75848
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_741.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_741.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_741.jpg,-0.2254068,0.8063423,0,18.25046
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_810.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_810.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_810.jpg,-0.3414885,0.8063423,0,18.67194
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_879.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_879.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_879.jpg,-0.3414885,0.7966594,0,19.27441
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_01_952.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_01_952.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_01_952.jpg,-0.3221603,0.7966594,0,19.87669
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_021.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_021.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_021.jpg,-0.2060411,0.7869765,0,20.37349
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_094.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_094.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_094.jpg,0,0.7579656,0,20.97372
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_163.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_163.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_163.jpg,0,0.7579656,0,21.33838
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_233.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_233.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_233.jpg,0,0.7579656,0,21.90677
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_304.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_304.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_304.jpg,0,0.7579656,0,22.37002
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_375.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_375.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_375.jpg,0,0.7869765,0,22.94351
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_446.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_446.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_446.jpg,0,0.7772936,0,23.34945
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_519.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_519.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_519.jpg,0,0.7869765,0,23.92402
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_591.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_591.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_591.jpg,0,0.7869765,0,24.35695
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_658.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_658.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_658.jpg,0,0.7869765,0,24.92135
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_727.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_727.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_727.jpg,0,0.7869765,0,25.34129
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_794.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_794.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_794.jpg,0,0.7869765,0,25.90021
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_869.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_869.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_869.jpg,-0.2157239,0.7869765,0,26.29875
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_02_939.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_02_939.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_02_939.jpg,-0.2641007,0.7869765,0,26.79886
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_013.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_013.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_013.jpg,-0.2544178,0.7869765,0,27.32067
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_089.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_089.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_089.jpg,-0.1963582,0.7869765,0,27.72
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_162.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_162.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_162.jpg,-0.02221695,0.7869765,0,28.259
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_230.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_230.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_230.jpg,0,0.7869765,0,28.65674
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_297.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_297.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_297.jpg,0,0.7966594,0,29.19449
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_371.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_371.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_371.jpg,0,0.7869765,0,29.59375
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_444.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_444.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_444.jpg,0,0.7772936,0,30.11799
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_517.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_517.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_517.jpg,0,0.7579656,0,30.13608
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_594.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_594.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_594.jpg,-0.01253407,0.7579656,0,30.12732
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_676.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_676.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_676.jpg,-0.01253407,0.7772936,0,30.13542
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_746.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_746.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_746.jpg,0,0.7772936,0,30.12737
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_818.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_818.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_818.jpg,-0.02221695,0.7579656,0,30.12637
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_885.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_885.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_885.jpg,-0.08995949,0.7772936,0,30.13379
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_03_957.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_03_957.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_03_957.jpg,-0.1286533,0.7772936,0,30.13323
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_034.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_034.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_034.jpg,-0.1286533,0.7772936,0,30.13454
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_102.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_102.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_102.jpg,-0.1286533,0.7772936,0,30.13256
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_170.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_170.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_170.jpg,-0.1286533,0.7772936,0,30.13302
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_240.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_240.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_240.jpg,-0.1189705,0.7579656,0,30.12854
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_310.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_310.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_310.jpg,-0.0705937,0.7579656,0,30.1294
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_386.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_386.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_386.jpg,-0.06091081,0.7579656,0,30.1293
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_455.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_455.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_455.jpg,-0.0705937,0.7579656,0,30.12921
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_527.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_527.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_527.jpg,-0.1286533,0.7579656,0,30.1274
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_595.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_595.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_595.jpg,-0.1286533,0.7579656,0,30.128
C:\Users\Joel\Documents\selfdriving\IMG\center_2017_05_21_16_03_04_664.jpg,C:\Users\Joel\Documents\selfdriving\IMG\left_2017_05_21_16_03_04_664.jpg,C:\Users\Joel\Documents\selfdriving\IMG\right_2017_05_21_16_03_04_664.jpg,-0.1383362,0.7579656,0,30.1279
